user_id,group,user_segment,device,region,converted,revenue,incentive_cost,sessions,time_on_site_mins
AB010000,Control,Returning,Tablet,West,0,0.0,0.0,2,14.2
AB010001,Control,Returning,Tablet,North,0,0.0,0.0,6,16.2
AB010002,Control,Returning,Desktop,North,0,0.0,0.0,3,23.9
AB010003,Control,New,Desktop,South,0,0.0,0.0,8,23.6
AB010004,Control,Power,Tablet,West,1,2585.61,0.0,2,14.7
AB010005,Control,Returning,Desktop,West,0,0.0,0.0,4,25.5
AB010006,Control,New,Mobile,North,0,0.0,0.0,5,27.8
AB010007,Control,Returning,Tablet,East,0,0.0,0.0,1,6.6
AB010008,Control,Returning,Mobile,East,0,0.0,0.0,8,60.4
AB010009,Control,Returning,Mobile,North,1,1317.7,0.0,9,70.2
AB010010,Control,Returning,Desktop,North,0,0.0,0.0,3,22.8
AB010011,Control,New,Desktop,South,0,0.0,0.0,2,13.0
AB010012,Control,Power,Mobile,North,0,0.0,0.0,6,21.9
AB010013,Control,Returning,Mobile,West,0,0.0,0.0,3,10.1
AB010014,Control,New,Mobile,North,0,0.0,0.0,6,44.5
AB010015,Control,Returning,Desktop,South,1,1772.38,0.0,8,62.8
AB010016,Control,Returning,Desktop,North,0,0.0,0.0,6,43.6
AB010017,Control,Returning,Desktop,South,0,0.0,0.0,1,8.0
AB010018,Control,Power,Mobile,East,0,0.0,0.0,5,13.4
AB010019,Control,Returning,Mobile,West,1,1650.22,0.0,7,51.5
AB010020,Control,Returning,Desktop,South,0,0.0,0.0,2,8.8
AB010021,Control,Power,Desktop,East,0,0.0,0.0,4,31.3
AB010022,Control,New,Desktop,North,0,0.0,0.0,4,18.2
AB010023,Control,Returning,Mobile,North,0,0.0,0.0,2,13.8
AB010024,Control,New,Mobile,East,0,0.0,0.0,6,27.0
AB010025,Control,New,Mobile,East,0,0.0,0.0,7,33.6
AB010026,Control,New,Mobile,East,0,0.0,0.0,3,10.9
AB010027,Control,Returning,Mobile,West,0,0.0,0.0,7,38.2
AB010028,Control,New,Mobile,East,0,0.0,0.0,4,26.7
AB010029,Control,Returning,Mobile,East,0,0.0,0.0,6,20.6
AB010030,Control,Returning,Mobile,East,1,1668.16,0.0,3,15.4
AB010031,Control,New,Mobile,North,1,819.85,0.0,6,23.1
AB010032,Control,Returning,Mobile,North,0,0.0,0.0,5,17.5
AB010033,Control,Returning,Mobile,South,0,0.0,0.0,4,18.9
AB010034,Control,New,Mobile,South,0,0.0,0.0,6,44.9
AB010035,Control,Power,Desktop,South,0,0.0,0.0,2,13.5
AB010036,Control,New,Mobile,North,0,0.0,0.0,6,36.4
AB010037,Control,Returning,Mobile,North,0,0.0,0.0,3,22.3
AB010038,Control,Returning,Mobile,North,0,0.0,0.0,7,46.1
AB010039,Control,New,Desktop,North,0,0.0,0.0,4,16.4
AB010040,Control,Power,Tablet,West,0,0.0,0.0,3,23.2
AB010041,Control,Returning,Mobile,South,0,0.0,0.0,5,20.8
AB010042,Control,Power,Desktop,West,0,0.0,0.0,7,38.2
AB010043,Control,Returning,Mobile,East,0,0.0,0.0,4,30.5
AB010044,Control,New,Desktop,North,0,0.0,0.0,4,10.8
AB010045,Control,New,Mobile,South,0,0.0,0.0,2,9.0
AB010046,Control,Returning,Mobile,South,0,0.0,0.0,3,10.1
AB010047,Control,Returning,Mobile,North,0,0.0,0.0,8,37.6
AB010048,Control,New,Mobile,West,0,0.0,0.0,1,2.7
AB010049,Control,New,Desktop,West,1,939.88,0.0,4,23.4
AB010050,Control,Power,Mobile,West,0,0.0,0.0,2,8.9
AB010051,Control,Returning,Mobile,South,1,1256.63,0.0,5,37.4
AB010052,Control,Returning,Mobile,East,0,0.0,0.0,8,22.7
AB010053,Control,Returning,Mobile,North,0,0.0,0.0,6,16.3
AB010054,Control,Power,Mobile,West,0,0.0,0.0,3,9.3
AB010055,Control,Returning,Tablet,North,0,0.0,0.0,7,35.7
AB010056,Control,Power,Mobile,South,1,3669.15,0.0,2,13.2
AB010057,Control,Power,Desktop,East,0,0.0,0.0,3,19.4
AB010058,Control,New,Mobile,North,1,1021.65,0.0,11,47.6
AB010059,Control,Power,Desktop,East,0,0.0,0.0,3,22.1
AB010060,Control,Returning,Mobile,West,0,0.0,0.0,8,26.5
AB010061,Control,Power,Desktop,West,1,1301.48,0.0,9,55.4
AB010062,Control,Returning,Mobile,East,0,0.0,0.0,5,20.8
AB010063,Control,Power,Desktop,East,0,0.0,0.0,1,6.9
AB010064,Control,New,Desktop,South,0,0.0,0.0,5,23.0
AB010065,Control,Power,Desktop,South,0,0.0,0.0,4,11.5
AB010066,Control,Returning,Mobile,North,0,0.0,0.0,3,9.8
AB010067,Control,Returning,Mobile,North,0,0.0,0.0,1,4.5
AB010068,Control,New,Mobile,East,0,0.0,0.0,7,29.2
AB010069,Control,Returning,Mobile,North,1,929.94,0.0,10,28.6
AB010070,Control,New,Mobile,East,0,0.0,0.0,7,47.9
AB010071,Control,New,Mobile,South,0,0.0,0.0,4,14.1
AB010072,Control,New,Desktop,North,0,0.0,0.0,8,56.5
AB010073,Control,New,Desktop,East,0,0.0,0.0,8,30.4
AB010074,Control,Power,Mobile,South,0,0.0,0.0,4,16.2
AB010075,Control,Returning,Mobile,West,0,0.0,0.0,5,37.1
AB010076,Control,Returning,Mobile,North,0,0.0,0.0,1,5.7
AB010077,Control,Returning,Tablet,East,0,0.0,0.0,5,20.0
AB010078,Control,Returning,Tablet,West,0,0.0,0.0,2,7.2
AB010079,Control,New,Mobile,East,0,0.0,0.0,5,31.4
AB010080,Control,New,Desktop,East,0,0.0,0.0,3,21.2
AB010081,Control,Power,Desktop,North,0,0.0,0.0,7,49.0
AB010082,Control,New,Mobile,South,0,0.0,0.0,7,18.4
AB010083,Control,New,Desktop,West,0,0.0,0.0,2,11.8
AB010084,Control,Power,Mobile,West,1,2514.83,0.0,9,57.7
AB010085,Control,New,Mobile,East,0,0.0,0.0,8,43.7
AB010086,Control,Returning,Mobile,South,0,0.0,0.0,1,2.5
AB010087,Control,Power,Desktop,West,0,0.0,0.0,8,29.5
AB010088,Control,Power,Desktop,North,0,0.0,0.0,5,28.7
AB010089,Control,Power,Mobile,North,0,0.0,0.0,5,23.1
AB010090,Control,New,Desktop,North,0,0.0,0.0,6,37.4
AB010091,Control,Returning,Mobile,North,0,0.0,0.0,1,4.6
AB010092,Control,New,Mobile,East,0,0.0,0.0,7,22.8
AB010093,Control,New,Mobile,North,0,0.0,0.0,6,18.6
AB010094,Control,New,Mobile,East,0,0.0,0.0,4,19.6
AB010095,Control,Returning,Mobile,South,0,0.0,0.0,5,28.3
AB010096,Control,New,Mobile,South,0,0.0,0.0,5,29.5
AB010097,Control,Power,Mobile,South,0,0.0,0.0,3,17.6
AB010098,Control,Power,Mobile,South,0,0.0,0.0,4,25.9
AB010099,Control,New,Tablet,South,0,0.0,0.0,8,31.4
AB010100,Control,New,Desktop,East,0,0.0,0.0,1,3.2
AB010101,Control,Power,Mobile,East,0,0.0,0.0,5,13.5
AB010102,Control,New,Mobile,East,1,537.43,0.0,7,41.4
AB010103,Control,New,Mobile,South,1,645.59,0.0,10,44.5
AB010104,Control,New,Desktop,West,0,0.0,0.0,8,49.8
AB010105,Control,New,Mobile,South,0,0.0,0.0,7,32.2
AB010106,Control,Power,Mobile,North,0,0.0,0.0,3,14.9
AB010107,Control,New,Mobile,South,0,0.0,0.0,2,12.0
AB010108,Control,New,Mobile,West,0,0.0,0.0,5,26.7
AB010109,Control,New,Mobile,West,0,0.0,0.0,8,41.8
AB010110,Control,Returning,Mobile,West,0,0.0,0.0,5,32.0
AB010111,Control,New,Mobile,West,0,0.0,0.0,5,33.6
AB010112,Control,New,Mobile,South,0,0.0,0.0,4,26.2
AB010113,Control,Returning,Desktop,East,0,0.0,0.0,5,33.3
AB010114,Control,New,Tablet,North,0,0.0,0.0,5,22.9
AB010115,Control,Returning,Mobile,West,0,0.0,0.0,7,33.0
AB010116,Control,Returning,Mobile,East,1,1595.39,0.0,4,21.7
AB010117,Control,Power,Mobile,East,0,0.0,0.0,8,24.8
AB010118,Control,Power,Mobile,North,0,0.0,0.0,5,31.7
AB010119,Control,Returning,Desktop,East,1,1420.79,0.0,8,30.5
AB010120,Control,New,Mobile,South,0,0.0,0.0,7,41.9
AB010121,Control,New,Mobile,South,0,0.0,0.0,3,7.7
AB010122,Control,New,Desktop,East,0,0.0,0.0,6,17.3
AB010123,Control,Power,Mobile,South,0,0.0,0.0,7,22.3
AB010124,Control,Returning,Mobile,West,0,0.0,0.0,1,5.0
AB010125,Control,Returning,Tablet,East,0,0.0,0.0,2,13.7
AB010126,Control,New,Mobile,East,0,0.0,0.0,1,3.5
AB010127,Control,New,Tablet,West,0,0.0,0.0,3,22.6
